text,is_retweet,From Iphone,From Media Studio,Crude Oil 5 Minutes,Crude Oil 30 Minutes,Crude Oil 12 Hours,Gold 5 Minutes,Gold 30 Minutes,Gold 12 Hours,USD Index 5 Minutes,USD Index 30 Minutes,USD Index 12 Hours
Landing shortly in Montoursville Pennsylvania - see everyone shortly!,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,1
Beautiful evening for a MAKE AMERICA GREAT AGAIN rally tonight in Pennsylvania. Thank you I love you! #MAGA,0,1,0,-1,-1,-1,-1,-1,-1,1,1,1
Massive crowds in Pennsylvania tonight. Thank you for joining me!,0,1,0,1,1,-1,-1,-1,-1,1,1,1
Megan King who is running for Superior Court Judge in the Pennsylvania election has my Full and Total Endorsement. She is tough on crime and fully understands all aspects of the law. Vote for Megan tomorrow (Tuesday).,0,1,0,0,-1,-1,-1,-1,-1,-1,1,1
Just returned to the beautiful @WhiteHouse after a great evening in Pennsylvania!,0,1,0,-1,-1,-1,0,-1,-1,-1,1,1
Megan King who is running for Superior Court Judge in the Pennsylvania election has my Full and Total Endorsement. S,1,1,0,-1,-1,-1,1,-1,1,-1,1,-1
Fred Keller of the Great State of Pennsylvania has been an outstanding State Representative. Now he is running as the,1,1,0,-1,-1,-1,1,-1,1,-1,1,-1
To the great people of Kentucky please go out and vote for Matt Bevin today. Very important. He has done a fantastic job for you and America! #MAGA,0,1,0,0,1,-1,0,1,-1,1,-1,1
I am very disappointed that Mexico is doing virtually nothing to stop illegal immigrants from coming to our Southern Border where everyone knows that because of the Democrats our Immigration Laws are totally flawed broken...,0,1,0,1,-1,-1,0,1,-1,-1,-1,1
...Mexico s attitude is that people from other countries including Mexico should have the right to flow into the U.S. that U.S. taxpayers should be responsible for the tremendous costs associated w/this illegal migration. Mexico is wrong and I will soon be giving a response!,0,1,0,1,-1,-1,0,1,-1,-1,-1,1
Pennsylvania - Don t forget to get out and VOTE TODAY for Republican Fred Keller for Congress. Fred is Strong on Crime Second Amendment Military Vets and Healthcare. He has my Complete and Total Endorsement!,0,1,0,-1,-1,-1,1,-1,-1,-1,1,1
I am pleased to announce my nomination of Barbara Barrett of Arizona and former Chairman of the Aerospace Corporation to be the next Secretary of the Air Force. She will be an outstanding Secretary! #FlyFightWin,0,1,0,1,1,-1,-1,-1,1,1,-1,-1
So even though I didn t have to do it with Presidential Privilege I allowed everyone to testify including White House Counsel Don McGahn (for over 30 hours) to Robert Mueller and the 18 Angry Trump-Hating Democrats and they arrived....,0,1,0,1,-1,-1,-1,-1,1,1,0,1
....at a conclusion of NO COLLUSION and NO OBSTRUCTION! The Dems were unhappy with the outcome of the $40M Mueller Report so now they want a do-over.,0,1,0,1,-1,-1,-1,-1,1,1,0,1
Johnny we will miss you   you did a great job!,0,1,0,1,-1,-1,-1,-1,1,0,1,1
Wow Mark Levin s new book opened at #1. It is great   keep it there for a long time!,0,1,0,-1,-1,-1,-1,0,1,1,1,1
Shahira Knight has done a wonderful job as my Legislative Affairs Director at the White House. She was outstanding for us and for our Country - will be a tremendous success in the private sector!,0,1,0,1,1,-1,-1,1,1,1,1,1
After spending 40 Million Dollars reviewing 1.4 million pages of documents interviewing 500 people with the total support of the White House the Mueller Report was a BIG DISAPPOINTMENT to the Democrats so they want a DO OVER. It doesn t work that way-so bad for our Country!,0,1,0,-1,-1,-1,1,0,1,1,1,1
The Democrats are on a fishing expedition wanting to interview the same people and see the same things as we just went through for two years with Robert Mueller and the 18 Angry Dems. Never happened to a president before. Never even happened to President Obama!,0,1,0,1,1,-1,0,0,1,-1,-1,-1
John Brennan on the Mueller probe  I don t know if I received bad information but I THINK I SUSPECTED THAT THERE WAS MORE THAN THERE ACTUALLY WAS.  Wow he admits he was wrong! Congress should go back to work on drug prices etc.,0,1,0,1,-1,-1,1,-1,1,0,1,1
Great news for Republicans: Fred Keller has just won the hard fought for Pennsylvania Congressional contest in a LANDSLIDE over 70% of the vote. Thanks to the thousands who showed up for the Rally last night. Congratulations to Fred and his wonderful family!,0,1,0,-1,1,-1,-1,1,1,-1,-1,-1
Congratulations to Governor @MattBevin on winning the Republican Primary for Governor tonight in the Great State of KENTUCKY. Matt you are doing a fantastic job!,0,1,0,1,1,-1,-1,1,1,-1,1,-1
Everything the Democrats are asking me for is based on an illegally started investigation that failed for them especially when the Mueller Report came back with a NO COLLUSION finding. Now they say Impeach President Trump even though he did nothin wrong while they  fish!,0,1,0,1,1,-1,-1,-1,-1,-1,-1,1
After two years of an expensive and comprehensive Witch Hunt the Democrats don t like the result and they want a DO OVER. In other words the Witch Hunt continues!,0,1,0,-1,-1,-1,-1,0,-1,1,-1,1
The Democrats are getting ZERO work done in Congress. All they are focused on is trying to prove the Mueller Report wrong the Witch Hunt!,0,1,0,-1,-1,-1,1,1,0,-1,1,1
PRESIDENTIAL HARASSMENT!,0,1,0,0,-1,-1,-1,0,-1,1,1,1
Twitter VICIOUS censorship still hitting  MAGA movement HARD.JAMES WOODS SUSPENDED DAY 32!If you think this is TOTAL BS,1,1,0,-1,-1,-1,1,1,-1,-1,1,1
what on earth was the point of a taxpayer funded special counsel if we re going t,1,1,0,-1,-1,-1,0,1,-1,-1,1,1
This week you ll see more efforts from Democrats to re-do the Mueller investigation hoping this time they ll stumble on,1,1,0,-1,-1,-1,0,1,-1,1,1,1
"Declassification of Russia investigation docs is ""right around the corner.""",1,1,0,-1,1,-1,1,1,-1,1,1,1
Another trade breakthru 2day w Japan lifting restrictions on US beef products. US beef into Japan has been 1 of the most,1,1,0,-1,1,-1,1,1,-1,1,1,1
Thx to Pres Trump/Amb Lighthizer Canada/Mexico for working to get to this pt Now it s time for Congress to do its job,1,1,0,1,-1,-1,0,1,-1,1,1,1
Watch @RepMarkMeadows's opening statement from today's Government Operations Subcommittee hearing.Mr. Meadows i,1,1,0,1,1,-1,1,1,-1,-1,1,1
Very pleased to have confirmed another conservative judge to the Ninth Circuit. Daniel Collins will be an outstanding,1,1,0,1,1,-1,1,1,-1,1,1,1
The only way to protect Americans serving overseas is to have their back. I am proud President Trump is standing up,1,1,0,1,1,-1,1,1,-1,1,1,1
Mueller changed everything-  @ByronYork  #muellerdossier,1,1,0,1,-1,-1,-1,1,-1,1,1,1
Warrior for the western alliance    - Why does he wait 2 months to bring USA this important information?,1,1,0,1,0,-1,-1,1,-1,1,1,1
Today tens of thousands of peace officers gathered in our nation s capital to honor the service and sacrifice of their f,1,1,0,1,-1,-1,1,1,-1,1,1,1
Without the ILLEGAL Witch Hunt my poll numbers especially because of our historically  great  economy would be at 65%. Too bad! The greatest Hoax in American History.,0,1,0,1,1,-1,1,1,-1,-1,1,1
Much of the Wall being built at the Southern Border is a complete demolition and rebuilding of old and worthless barriers with a brand new Wall and footings. Problem is the Haters say that is not a new Wall but rather a renovation. Wrong and we must build where most needed....,0,1,0,-1,-1,-1,0,-1,-1,1,-1,1
Also tremendous work is being done on pure renovation - fixing existing Walls that are in bad condition and ineffective and bringing them to a very high standard!,0,1,0,-1,-1,-1,0,-1,-1,1,-1,1
Everybody including me thought that when the 40 Million Dollar Mueller Report was released with No Collusion and No Obstruction (of a crime caused by others) that was the end. But no the Democrats want to keep it going in an effort to help them in 2020. Bad for the Country!,0,1,0,1,1,-1,-1,-1,-1,-1,1,1
The Democrats are in danger of becoming irrelevant because of their decision to keep taking the country on wild goose chases. They ought to start governing. You know for a change.   Michael Goodwin @newyorkpost,0,1,0,1,1,-1,1,1,-1,-1,1,1
He (Jerry Nadler) wants a show. He wants to use Mr. McGahn as a prop to spend three hours claiming that Mr. Trump tried to obstruct the Mueller investigation. YET MR. MUELLER WASN T OBSTRUCTED IN ANY WAY HIS COPIOUS REPORT WAS RELEASED FOR ALL TO SEE THERE WAS NO COLLUSION..,0,1,0,1,-1,-1,1,1,0,-1,1,1
..BETWEEN RUSSIA AND THE TRUMP CAMPAIGN. Mr. McGahn can be forgiven for declining the honor of appearing in Mr. Nadler s pseudo-impeachment drama.  Wall Street Journal Editorial BoardToday - May 21 2019,0,1,0,1,-1,-1,1,1,0,-1,1,1
As I have long been saying and has now been proven out this is a Witch Hunt against the Republican Party and myself and it was the other side that caused the problem not us!,0,1,0,1,-1,-1,-1,1,1,1,1,1
I want to welcome you all to the @WhiteHouse as we award our very bravest law enforcement officers and firefighters our nation s highest public safety award   The Medal of Valor...,0,1,0,-1,-1,-1,1,1,1,-1,1,1
In a letter to her House colleagues Nancy Pelosi said:  President Trump had a temper tantrum for us all to see.  This is not true. I was purposely very polite and calm much as I was minutes later with the press in the Rose Garden. Can be easily proven. It is all such a lie!,0,1,0,1,1,-1,-1,1,1,1,1,-1
Zero is getting done with the Democrats in charge of the House. All they want to do is put the Mueller Report behind them and start all over again. No Do-Overs!,0,1,0,1,1,-1,1,1,1,1,1,-1
Democrats don t want to fix the loopholes at the Border. They don t want to do anything. Open Borders and crime!,0,1,0,0,1,-1,-1,-1,1,1,-1,-1
.@RealDonaldTrump faces a criminal conspiracy against him....,1,1,0,1,-1,-1,-1,1,1,1,1,-1
The Democrats are getting nothing done in Congress. All of their effort is about a Re-Do of the Mueller Report which didn t turn out the way they wanted. It is not possible for them to investigate and legislate at the same time. Their heart is not into Infrastructure lower.....,0,1,0,-1,1,1,-1,-1,-1,1,-1,-1
....drug prices pre-existing conditions and our great Vets. All they are geared up to do six committees is squander time day after day trying to find anything which will be bad for me. A pure fishing expedition like this never happened before it should never happen again!,0,1,0,-1,1,1,-1,-1,-1,1,-1,-1
The Democrats have become known as THE DO NOTHING PARTY!,0,1,0,0,-1,1,-1,-1,-1,-1,-1,-1
Rex Tillerson a man who is  dumb as a rock  and totally ill prepared and ill equipped to be Secretary of State made up a story (he got fired) that I was out-prepared by Vladimir Putin at a meeting in Hamburg Germany. I don t think Putin would agree. Look how the U.S. is doing!,0,1,0,-1,-1,1,-1,1,-1,1,-1,1
I was extremely calm yesterday with my meeting with Pelosi and Schumer knowing that they would say I was raging which they always do along with their partner the Fake News Media. Well so many stories about the meeting use the Rage narrative anyway - Fake Corrupt Press!,0,1,0,1,-1,1,-1,1,-1,-1,-1,-1
When the Democrats in Congress refinish for the 5th time their Fake work on their very disappointing Mueller Report finding they will have the time to get the REAL work of the people done. Move quickly!,0,1,0,-1,-1,1,-1,-1,-1,1,1,-1
We will never forget our fallen HEROES. It was our great honor to be with you today! #FlagsIn,0,1,0,1,1,-1,-1,-1,0,1,1,-1
The U.S. Senate has just approved a 19 Billion Dollar Disaster Relief Bill with my total approval. Great!,0,1,0,0,1,-1,0,-1,1,0,-1,-1
@FoxNews Poll: A majority of Americans want the Democrats to stop investigating President Trump. The Mueller Report said very strongly NO COLLUSION which led to NO OBSTRUCTION. The Dems can t get over 2016 or the conclusive Mueller findings. They are now,0,1,0,0,1,-1,-1,-1,1,-1,-1,-1
Today at the request and recommendation of the Attorney General of the United States President Donald J. Trump directed the intelligence community to quickly and fully cooperate with the Attorney General s investigation into surveillance activities....,0,1,0,-1,1,-1,1,0,1,-1,-1,-1
....during the 2016 Presidential election. The Attorney General has also been delegated full and complete authority to declassify information pertaining to this investigation in accordance with the long-established standards for handling classified information....,0,1,0,-1,1,-1,1,0,1,-1,-1,-1
....Today s action will help ensure that all Americans learn the truth about the events that occurred and the actions that were taken during the last Presidential election and will restore confidence in our public institutions.  @PressSec,0,1,0,-1,1,-1,1,0,1,-1,-1,-1
Nancy Pelosi should not be out there doing the kinds of things she is doing. She will diminish herself and her membership. She cannot put a subject with a predicate in the same sentence. What s going on?   Ed Rollins  @GreggJarrett  @LouDobbs,0,1,0,1,-1,-1,1,1,1,0,-1,-1
Congrats  @IvankaTrump  on receiving the Internet Association s 2019 Internet Freedom Award this evening.,1,1,0,1,-1,-1,1,1,1,-1,-1,-1
PELOSI STAMMERS THROUGH NEWS CONFERENCE,0,1,0,1,1,-1,1,1,1,-1,-1,-1
A friendly reminder from @LizRNC that the Main Stream Media who suffer from Trump Detangment Syndrome made this clown a,1,1,0,1,1,-1,-1,0,1,1,-1,-1
71% of Voters rate the Economy as Excellent or Good. The highest number in more than 18 years! @QuinnipiacPoll,0,1,0,1,1,-1,-1,1,1,1,-1,-1
FBI refuses to search text messages under FOIA. Director Wray needs to step up and stop this stonewalling that protects corr,1,1,0,1,-1,1,-1,1,1,1,-1,-1
@realDonaldTrump authorizes AG Barr to declassify #Spygate docs from all agencies!  Coming up!,1,1,0,1,-1,1,-1,1,1,1,-1,-1
SPEAKER ANNOUNCEMENT!Fox News Contributor @LisaMarieBooth Has Just Been Added To Our AMAZING Line-Up Of Speakers For #YWLS2019,1,1,0,-1,-1,1,-1,1,1,-1,1,-1
A great night. Thank you.,1,1,0,-1,-1,1,0,1,1,1,1,-1
Very excited to join the @foxnation team!  Fox Nation Rolls Out Slate With Tyrus Kat Timpf Tammy Bruce Lawrence Jones,1,1,0,1,1,1,1,1,1,-1,1,-1
Wow! CNN Ratings are WAY DOWN record lows. People are getting tired of so many Fake Stories and Anti-Trump lies. Chris Cuomo was rewarded for lowest morning ratings with a prime time spot - which is failing badly and not helping the dumbest man on television Don Lemon!,0,1,0,-1,-1,1,-1,-1,1,1,1,-1
When is Twitter going to allow the very popular Conservative Voices that it has so viciously shut down back into the OPEN? IT IS TIME!,0,1,0,1,1,1,-1,-1,1,1,1,-1
